Date,days,Coalition,^GDAXI,growth,growth per day,growth full periode,CDU,SPD
1949-08-14,1484,"CDU/CSU, FDP, DP",,,,,,
1953-09-06,1470,"CDU/CSU, FDP, DP, GB/BHE",,,,,,
1957-09-15,1463,"CDU/CSU, DP",,,,,,
1961-09-17,1463,"CDU/CSU, FDP",,,,,,
1965-09-19,1470,"CDU/CSU, SPD",,,,,,
1969-09-28,1148,"SPD, FDP",,,,,,
1972-11-19,1414,"SPD, FDP",,,,,,
1976-10-03,1463,"SPD, FDP",,,,,,
1980-10-05,882,"SPD, FDP",,,,,,
1983-03-06,1421,"CDU/CSU, FDP",,,,,,
1987-01-25,1407,"CDU/CSU, FDP","1.005,19","0,458828699899988","0,000268432505848182","0,480126065509076","0,480126065509076",
1990-12-02,1414,"CDU/CSU, FDP","1.466,40","0,42906440482524","0,000252521247139814","0,446124136324829","0,446124136324829",
1994-10-16,1442,"CDU/CSU, FDP","2.095,58","1,23210752355451","0,000556983224707652","1,25584799253356","1,25584799253356",
1998-09-27,1456,"SPD, Greens","4.677,56","-0,376972189882233","-0,000324922559852503","-0,377983711290995",,"-0,377983711290995"
2002-09-22,1092,"SPD, Greens","2.914,25","0,69035940046753","0,000480830918667463","1,01844040379991",,"1,01844040379991"
2005-09-18,1470,"CDU/CSU, SPD","4.926,13","0,164465857590968","0,00010358529012322","0,16338082583195","0,16338082583195",
2009-09-27,1456,"CDU/CSU, FDP","5.736,31","0,505373654990231","0,000280974316939409","0,50748970043727","0,50748970043727",
2013-09-22,1463,"CDU/CSU, SPD","8.635,29","0,45852768272273","0,000258015160169878","0,457775329405921","0,457775329405921",
2017-09-24,1463,"CDU/CSU, SPD","12.594,81","0,236531588339536","0,000145130389745285","0,236172749836399","0,236172749836399",
2021-09-26,1206,"SPD, Greens, FDP","15.573,88","0,292731814518412","0,000212922884521127","0,364853669316751",,"0,364853669316751"
2025-01-14,,,"20.132,85",,,,,
,,,,,,,"0,506702399982715","0,335103453941889"
