Symbol,Name
DWS,DWS GROUP SE
SPG,SPRINGER NATURE AG & CO. KGAA
SHA0,SCHAEFFLER AG
SIX2,SIXT SE
R3NK,RENK GROUP AG
FIE,FIELMANN GROUP AG
IOS,IONOS GROUP SE
1U1,1&1 AG
SZU,SUEDZUCKER AG
DMP,DERMAPHARM HLDG SE
FTK,FLATEXDEGIRO AG
B4B,METRO AG
AOF,ATOSS SOFTWARE SE
KWS,KWS SAAT SE & CO. KGAA
GYC,GRAND CITY PROPERTIES S.A.
DUE,DUERR AG
DOU,DOUGLAS AG
CEC,CECONOMY AG
KTN,KONTRON AG
DEQ,DEUTSCHE EUROSHOP AG
PSM,PROSIEBENSAT1 MEDIA SE
HBH,HORNBACH HLDG AG & CO KGAA
SZG,SALZGITTER AG
KSB3,KSB SE & CO. KGAA
ELG,ELMOS SEMICONDUCTOR SE
EUZ,ECKERT & ZIEGLER SE
WAC,WACKER NEUSON SE
WUW,WUSTENROT & WURTTEMBERGISCHE AG
COP,COMPUGROUP MEDICAL SE & CO. KGAA
NA9,NAGARRO SE
YOU,ABOUT YOU HOLDING SE
ADV,ADTRAN NETWORKS SE
PNE3,PNE AG
VOS,VOSSLOH AG
DRW3,DRAEGERWERK AG & CO KGAA
BFSA,BEFESA SA
ACT,ALZCHEM GROUP AG
GLJ,GRENKE AG
COK,CANCOM SE
SFQ,SAF HOLLAND SE
MLP,MLP SE
PBB,DEUTSCHE PFANDBRIEFBANK AG
DEZ,DEUTZ AG
STM,STABILUS SE
STO3,STO SE & CO. KGAA
JST,JOST WERKE SE
SMHN,SUESS MICROTEC SE
CWC,CEWE STIFTUNG & CO. KGAA
KCO,KLOECKNER & CO SE
PAT,PATRIZIA SE
INH,INDUS-HOLDING AG
EKT,ENERGIEKONTOR AG
MUX,MUTARES SE & CO. KGAA
ADN1,ADESSO SE
VBK,VERBIO SE
GFT,GFT TECHNOLOGIES SE
S92,SMA SOLAR TECHNOLOGY AG
SGL,SGL CARBON SE
NOEJ,NORMA GROUP SE
HABA,Hamborner REIT AG
DBAN,DEUTSCHE BETEILIGUNGS AG
FYB,FORMYCON AG
AAD,AMADEUS FIRE AG
BVB,BORUSSIA DORTMUND KGAA
SBS,STRATEC SE
HDD,HEIDELBERGER DRUCKMASCHINEN AG
F3C,SFC Energy AG
ILM1,MEDIOS AG
TPE,PVA TEPLA AG
LPK,LPKF LASER & ELECTRONICS SE
